,backend,qubit mapping,initial state,optimizer,variational form,absolute error
85,statevector,jordan_wigner,Zero,L_BFGS_B,RY,0.19564830579329617
86,statevector,jordan_wigner,Zero,L_BFGS_B,RYRZ,0.5772611435786917
87,statevector,jordan_wigner,Zero,L_BFGS_B,SwapRZ,1.077059745734695
88,statevector,jordan_wigner,Zero,SLSQP,UCCSD,1.077059745734692
89,statevector,jordan_wigner,Zero,SLSQP,RY,0.002645319378434152
90,statevector,jordan_wigner,Zero,SLSQP,RYRZ,0.019211344819644482
91,statevector,jordan_wigner,Zero,SLSQP,SwapRZ,1.0770597457346907
92,statevector,jordan_wigner,Zero,SPSA,UCCSD,
93,statevector,jordan_wigner,Zero,SPSA,RY,0.22111576580891468
94,statevector,jordan_wigner,Zero,SPSA,RYRZ,0.045100076992815374
95,statevector,jordan_wigner,Zero,SPSA,SwapRZ,
96,qasm,parity,HF,COBYLA,UCCSD,0.00924126824842153
97,qasm,parity,HF,COBYLA,RY,0.1527807074841664
98,qasm,parity,HF,COBYLA,RYRZ,0.5505722970944027
99,qasm,parity,HF,COBYLA,SwapRZ,0.5135283856235134
100,qasm,parity,HF,L_BFGS_B,UCCSD,0.02057704223196244
101,qasm,parity,HF,L_BFGS_B,RY,0.7268557081568838
102,qasm,parity,HF,L_BFGS_B,RYRZ,0.7776674407330829
103,qasm,parity,HF,L_BFGS_B,SwapRZ,0.5171882179704322
104,qasm,parity,HF,SLSQP,UCCSD,0.020476943342381038
105,qasm,parity,HF,SLSQP,RY,1.818701185931626
106,qasm,parity,HF,SLSQP,RYRZ,1.1672692762434442
107,qasm,parity,HF,SLSQP,SwapRZ,0.5182449532901441
108,qasm,parity,HF,SPSA,UCCSD,0.05677871229066289
109,qasm,parity,HF,SPSA,RY,0.11976540394392443
110,qasm,parity,HF,SPSA,RYRZ,0.10316807422896412
111,qasm,parity,HF,SPSA,SwapRZ,0.5234361536174325
112,qasm,parity,Zero,COBYLA,UCCSD,0.0780655665096962
113,qasm,parity,Zero,COBYLA,RY,0.17867057456619606
114,qasm,parity,Zero,COBYLA,RYRZ,0.0771205109038442
115,qasm,parity,Zero,COBYLA,SwapRZ,0.5138530292553826
116,qasm,parity,Zero,L_BFGS_B,UCCSD,0.3258268702565149
117,qasm,parity,Zero,L_BFGS_B,RY,0.8430338641661765
118,qasm,parity,Zero,L_BFGS_B,RYRZ,0.766940074363376
119,qasm,parity,Zero,L_BFGS_B,SwapRZ,0.5240678781437735
120,qasm,parity,Zero,SLSQP,UCCSD,0.4157068506701319
121,qasm,parity,Zero,SLSQP,RY,0.8090545127061115
122,qasm,parity,Zero,SLSQP,RYRZ,0.957626402534472
123,qasm,parity,Zero,SLSQP,SwapRZ,0.5220441118601121
124,qasm,parity,Zero,SPSA,UCCSD,0.13660343003765296
125,qasm,parity,Zero,SPSA,RY,0.023469196815082194
126,qasm,parity,Zero,SPSA,RYRZ,0.09885068123939189
127,qasm,parity,Zero,SPSA,SwapRZ,0.5227220665548342
128,qasm,bravyi_kitaev,HF,COBYLA,UCCSD,0.008057473608764854
129,qasm,bravyi_kitaev,HF,COBYLA,RY,0.21272746710228174
130,qasm,bravyi_kitaev,HF,COBYLA,RYRZ,0.345747380407434
131,qasm,bravyi_kitaev,HF,COBYLA,SwapRZ,1.0663200624319567
132,qasm,bravyi_kitaev,HF,L_BFGS_B,UCCSD,0.023723799188853256
133,qasm,bravyi_kitaev,HF,L_BFGS_B,RY,0.8942656948521042
134,qasm,bravyi_kitaev,HF,L_BFGS_B,RYRZ,0.676724656324102
135,qasm,bravyi_kitaev,HF,L_BFGS_B,SwapRZ,1.0763867525608561
136,qasm,bravyi_kitaev,HF,SLSQP,UCCSD,0.019823090443696012
137,qasm,bravyi_kitaev,HF,SLSQP,RY,0.6536287893312782
138,qasm,bravyi_kitaev,HF,SLSQP,RYRZ,0.8239978441843421
139,qasm,bravyi_kitaev,HF,SLSQP,SwapRZ,1.0731891925584465
140,qasm,bravyi_kitaev,HF,SPSA,UCCSD,0.00033940639017981944
141,qasm,bravyi_kitaev,HF,SPSA,RY,0.19564149127826158
142,qasm,bravyi_kitaev,HF,SPSA,RYRZ,0.1514178146029772
143,qasm,bravyi_kitaev,HF,SPSA,SwapRZ,1.080799180023768
144,qasm,bravyi_kitaev,Zero,COBYLA,UCCSD,1.0727475286177959
145,qasm,bravyi_kitaev,Zero,COBYLA,RY,0.18542125714339064
146,qasm,bravyi_kitaev,Zero,COBYLA,RYRZ,0.49054334073087336
147,qasm,bravyi_kitaev,Zero,COBYLA,SwapRZ,1.062946676563112
148,qasm,bravyi_kitaev,Zero,L_BFGS_B,UCCSD,1.077572275685081
149,qasm,bravyi_kitaev,Zero,L_BFGS_B,RY,1.0488284720323742
150,qasm,bravyi_kitaev,Zero,L_BFGS_B,RYRZ,0.7697345709143264
151,qasm,bravyi_kitaev,Zero,L_BFGS_B,SwapRZ,1.070743358329568
152,qasm,bravyi_kitaev,Zero,SLSQP,UCCSD,1.0746153320715708
153,qasm,bravyi_kitaev,Zero,SLSQP,RY,0.9377540265591777
154,qasm,bravyi_kitaev,Zero,SLSQP,RYRZ,0.9371364197698944
155,qasm,bravyi_kitaev,Zero,SLSQP,SwapRZ,1.0739485755048361
156,qasm,bravyi_kitaev,Zero,SPSA,UCCSD,1.076530390421702
157,qasm,bravyi_kitaev,Zero,SPSA,RY,0.22685241393574396
158,qasm,bravyi_kitaev,Zero,SPSA,RYRZ,0.30621164332814377
159,qasm,bravyi_kitaev,Zero,SPSA,SwapRZ,1.0758838515020739
160,qasm,jordan_wigner,HF,COBYLA,UCCSD,0.006400237369535544
161,qasm,jordan_wigner,HF,COBYLA,RY,0.17400286272537724
162,qasm,jordan_wigner,HF,COBYLA,RYRZ,0.4356932354076565
163,qasm,jordan_wigner,HF,COBYLA,SwapRZ,1.0631772356496334
164,qasm,jordan_wigner,HF,L_BFGS_B,UCCSD,0.01600937790473167
165,qasm,jordan_wigner,HF,L_BFGS_B,RY,0.8936857011266549
166,qasm,jordan_wigner,HF,L_BFGS_B,RYRZ,0.6371450876564417
167,qasm,jordan_wigner,HF,L_BFGS_B,SwapRZ,1.0701905743185525
168,qasm,jordan_wigner,HF,SLSQP,UCCSD,0.012132299946344682
169,qasm,jordan_wigner,HF,SLSQP,RY,0.6722994602212315
170,qasm,jordan_wigner,HF,SLSQP,RYRZ,0.9594719384861813
171,qasm,jordan_wigner,HF,SLSQP,SwapRZ,1.0794790767843812
172,qasm,jordan_wigner,HF,SPSA,UCCSD,0.11472427238517235
173,qasm,jordan_wigner,HF,SPSA,RY,0.1189422603259136
174,qasm,jordan_wigner,HF,SPSA,RYRZ,0.22546875286239776
175,qasm,jordan_wigner,HF,SPSA,SwapRZ,1.0772077047070576
176,qasm,jordan_wigner,Zero,COBYLA,UCCSD,1.073484398424216
177,qasm,jordan_wigner,Zero,COBYLA,RY,0.1179316534800825
178,qasm,jordan_wigner,Zero,COBYLA,RYRZ,0.5518767840863128
179,qasm,jordan_wigner,Zero,COBYLA,SwapRZ,1.061025718285195
180,qasm,jordan_wigner,Zero,L_BFGS_B,UCCSD,1.0711899611298363
181,qasm,jordan_wigner,Zero,L_BFGS_B,RY,1.355856081722674
182,qasm,jordan_wigner,Zero,L_BFGS_B,RYRZ,0.7953593014084395
183,qasm,jordan_wigner,Zero,L_BFGS_B,SwapRZ,1.07134923965163
184,qasm,jordan_wigner,Zero,SLSQP,UCCSD,1.074547175219231
185,qasm,jordan_wigner,Zero,SLSQP,RY,0.9269793291405661
186,qasm,jordan_wigner,Zero,SLSQP,RYRZ,0.9884632419802364
187,qasm,jordan_wigner,Zero,SLSQP,SwapRZ,1.0739003195981933
188,qasm,jordan_wigner,Zero,SPSA,UCCSD,1.0741249008187221
189,qasm,jordan_wigner,Zero,SPSA,RY,0.3071623747852821
190,qasm,jordan_wigner,Zero,SPSA,RYRZ,0.35772213042557455
191,qasm,jordan_wigner,Zero,SPSA,SwapRZ,1.080568562681406
